City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,cacu,-18.5567,-51.1308,82.47,65,72,7.99,BR,1701633013
318,fada,9.5667,8.3,73.09,30,41,1.68,NG,1701633015
319,lorengau,-2.0226,147.2712,80.28,82,100,2.3,PG,1701633017
320,sukhobezvodnoye,57.0491,44.8891,17.53,94,100,12.71,RU,1701633019
321,bardai,11.65,7.2333,74.97,18,15,7.85,NG,1701633021
322,saint-christol-les-ales,44.0833,4.0833,33.31,60,25,3.71,FR,1701633023
323,pikeville,37.4793,-82.5188,64.99,51,75,11.5,US,1701632891
324,mabai,23.0128,104.4508,54.64,100,100,2.57,CN,1701633026
325,humaita,-7.5061,-63.0208,90.99,47,92,3.18,BR,1701633028
326,borogontsy,62.6683,131.1683,-55.73,100,84,1.97,RU,1701633030
327,haiku-pauwela,20.9219,-156.3051,80.17,76,20,4.61,US,1701633032
328,polevskoy,56.4422,60.1878,0.34,100,79,3.47,RU,1701632762
329,cabinda,-5.55,12.2,82.54,78,20,4.61,AO,1701633035
330,oued fodda,36.185,1.533,53.26,50,0,3.44,DZ,1701633037
331,palikir - national government center,6.9248,158.1611,79.54,89,75,5.75,FM,1701633039
332,sao joao da barra,-21.6403,-41.0511,84.29,88,15,19.28,BR,1701633041
333,bayanhongor,46.7167,100.1167,4.87,80,10,3.53,MN,1701633043
334,chui,-33.6971,-53.4616,64.2,62,100,15.32,UY,1701633044
335,bereznik,62.8551,42.7072,-0.71,100,90,2.68,RU,1701633046
336,vila velha,-20.3297,-40.2925,84.15,79,20,19.57,BR,1701633048
337,dunedin,-45.8742,170.5036,53.8,60,63,5.99,NZ,1701633050
338,moree,-29.4667,149.85,71.6,40,18,5.57,AU,1701633052
339,stephenville,32.2207,-98.2023,72.25,21,0,17.27,US,1701633053
340,san andres,12.5847,-81.7006,87.82,70,20,8.05,CO,1701633055
341,porto seguro,-16.4497,-39.0647,82.92,69,0,18.41,BR,1701633057
342,levuka,50.1834,-105.4011,33.51,43,5,7.18,CA,1701633058
343,atasu,48.6814,71.6433,26.53,76,87,14.79,KZ,1701633060
344,huelma,37.6713,-3.39,47.05,57,100,3.87,ES,1701633062
345,aitape,-3.1374,142.3475,78.01,89,25,1.45,PG,1701633064
346,nagqu,31.5,92.0,8.24,44,15,3.98,CN,1701633066
347,manismata,-2.4667,111.0333,74.1,98,97,1.95,ID,1701633067
348,teknaf,20.8624,92.3058,75.4,68,99,3.91,BD,1701633069
349,safford,32.834,-109.7076,58.12,48,0,4.61,US,1701633071
350,conde,-7.2597,-34.9075,83.66,74,40,10.36,BR,1701633073
351,sohar,24.3643,56.7468,75.22,73,0,2.3,OM,1701633075
352,peterhead,57.5058,-1.7981,32.45,68,42,12.06,GB,1701633077
353,kurkino,53.4257,38.6582,29.03,89,100,18.88,RU,1701633079
354,douglas,41.3,-96.167,37.6,82,75,8.05,US,1701633082
355,richards bay,-28.783,32.0377,72.19,79,11,8.41,ZA,1701633084
356,sao vicente,-23.9631,-46.3919,91.58,47,40,3.44,BR,1701633005
357,ankang,32.68,109.0172,47.53,77,100,1.9,CN,1701633089
358,macenta,8.5435,-9.471,72.7,63,51,2.3,GN,1701633091
359,torbat-e heydariyeh,35.274,59.2195,47.34,37,0,0.4,IR,1701633093
360,inarajan village,13.2736,144.7484,81.57,84,81,19.06,GU,1701633095
361,vorgashor,67.5833,63.95,-19.1,99,81,3.8,RU,1701633098
362,jianguang,28.1938,115.7836,48.58,70,100,2.26,CN,1701633100
